Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Label,Segment_RuleBased,Cluster,Segment
10000,38,32,426.33,3,2,4,9,324,Potential Loyalists,1,At Risk
10001,9,27,291.19,5,1,2,8,512,New Customers,0,Loyal Customers
10002,39,33,279.54,3,3,2,8,332,Potential Loyalists,1,At Risk
10003,16,28,339.96,5,1,3,9,513,New Customers,0,Loyal Customers
10004,20,24,257.34,4,1,1,6,411,New Customers,2,Lost
10005,40,29,151.27,2,1,1,4,211,Lost,2,Lost
10006,45,31,270.22,2,2,2,6,222,Lost,1,At Risk
10007,13,34,499.85,5,3,5,13,535,Loyal Customers,0,Loyal Customers
10008,33,40,440.31,3,5,4,12,354,Loyal Customers,3,Champions
10009,59,22,145.7,1,1,1,3,111,Lost,2,Lost
10010,26,36,518.17,4,4,5,13,445,Champions,3,Champions
10011,32,26,198.06,3,1,1,5,311,Promising,2,Lost
10012,55,33,349.27,2,3,3,8,233,At Risk,1,At Risk
10013,130,31,503.6,1,2,5,8,125,Hibernating,1,At Risk
10014,9,33,268.58,5,3,2,10,532,Potential Loyalists,0,Loyal Customers
10015,50,36,477.32,2,4,5,11,245,Cannot Lose Them,3,Champions
10016,20,29,319.06,4,1,2,7,412,New Customers,1,At Risk
10017,10,25,252.35,5,1,1,7,511,New Customers,2,Lost
10018,16,33,248.94,5,3,1,9,531,Hibernating,0,Loyal Customers
10019,31,35,222.23,3,3,1,7,331,Hibernating,1,At Risk
10020,90,36,249.4,1,4,1,6,141,Hibernating,1,At Risk
10021,40,40,503.57,2,5,5,12,255,Cannot Lose Them,3,Champions
10022,48,40,429.83,2,5,4,11,254,Cannot Lose Them,3,Champions
10023,3,26,222.71,5,1,1,7,511,New Customers,0,Loyal Customers
10024,45,35,608.46,2,3,5,10,235,At Risk,3,Champions
10025,48,34,249.0,2,3,1,6,231,Hibernating,1,At Risk
10026,52,36,314.51,2,4,2,8,242,Hibernating,1,At Risk
10027,60,34,315.55,1,3,2,6,132,Hibernating,1,At Risk
10028,24,46,333.63,4,5,3,12,453,Loyal Customers,3,Champions
10029,8,49,660.17,5,5,5,15,555,Champions,3,Champions
10030,40,35,344.25,2,3,3,8,233,At Risk,1,At Risk
10031,17,36,275.07,4,4,2,10,442,Potential Loyalists,0,Loyal Customers
10032,16,29,446.90000000000003,5,1,4,10,514,New Customers,0,Loyal Customers
10033,24,29,442.93,4,1,4,9,414,New Customers,1,At Risk
10034,31,30,386.97,3,2,4,9,324,Potential Loyalists,1,At Risk
10035,12,37,641.29,5,4,5,14,545,Champions,3,Champions
10036,33,34,295.84,3,3,2,8,332,Potential Loyalists,1,At Risk
10037,51,32,250.09,2,2,1,5,221,Lost,1,At Risk
10038,25,27,246.69,4,1,1,6,411,New Customers,2,Lost
10039,28,41,300.36,3,5,2,10,352,Potential Loyalists,3,Champions
10040,32,40,652.71,3,5,5,13,355,Loyal Customers,3,Champions
10041,57,28,350.71999999999997,1,1,3,5,113,Hibernating,1,At Risk
10042,8,40,662.64,5,5,5,15,555,Champions,3,Champions
10043,60,32,352.89,1,2,3,6,123,Hibernating,1,At Risk
10044,40,29,499.28000000000003,2,2,5,9,225,Hibernating,1,At Risk
10045,40,30,356.25,2,2,3,7,223,Hibernating,1,At Risk
10046,43,36,412.44,2,4,4,10,244,Cannot Lose Them,3,Champions
10047,41,35,327.26,2,3,3,8,233,At Risk,1,At Risk
10048,19,34,209.56,4,3,1,8,431,Hibernating,2,Lost
10049,28,32,334.61,3,2,3,8,323,Potential Loyalists,1,At Risk
10050,66,36,212.77,1,4,1,6,141,Hibernating,1,At Risk
10051,22,35,394.47,4,3,4,11,434,Loyal Customers,3,Champions
10052,34,30,165.42,3,2,1,6,321,Promising,2,Lost
10053,50,41,328.15999999999997,2,5,3,10,253,At Risk,3,Champions
10054,40,31,265.6,2,2,2,6,222,Lost,1,At Risk
10055,2,31,271.28,5,2,2,9,522,New Customers,0,Loyal Customers
10056,22,39,350.78,4,5,3,12,453,Loyal Customers,3,Champions
10057,27,23,188.91,4,1,1,6,411,New Customers,2,Lost
10058,17,26,131.44,4,1,1,6,411,New Customers,2,Lost
10059,32,41,383.8,3,5,4,12,354,Loyal Customers,3,Champions
10060,23,36,352.62,4,4,3,11,443,Loyal Customers,3,Champions
10061,13,27,314.32,5,1,2,8,512,New Customers,0,Loyal Customers
10062,21,27,186.4,4,1,1,6,411,New Customers,2,Lost
10063,50,36,307.43,2,4,2,8,242,Hibernating,1,At Risk
10064,14,42,629.02,5,5,5,15,555,Champions,3,Champions
10065,22,34,353.47,4,3,3,10,433,Loyal Customers,0,Loyal Customers
10066,10,25,324.53,5,1,3,9,513,New Customers,0,Loyal Customers
10067,40,28,112.87,2,1,1,4,211,Lost,2,Lost
10068,48,39,500.21999999999997,2,5,5,12,255,Cannot Lose Them,3,Champions
10069,89,34,308.98,1,3,2,6,132,Hibernating,1,At Risk
10070,90,29,272.99,1,2,2,5,122,Lost,1,At Risk
10071,4,36,289.44,5,4,2,11,542,Potential Loyalists,0,Loyal Customers
10072,21,38,771.16,4,4,5,13,445,Champions,3,Champions
10073,104,42,471.29,1,5,5,11,155,Cannot Lose Them,3,Champions
10074,46,27,236.57999999999998,2,1,1,4,211,Lost,2,Lost
10075,124,31,357.68,1,2,3,6,123,Hibernating,1,At Risk
10076,13,36,395.58,5,4,4,13,544,Champions,0,Loyal Customers
10077,31,42,401.03999999999996,3,5,4,12,354,Loyal Customers,3,Champions
10078,34,38,375.38,3,4,3,10,343,Loyal Customers,3,Champions
10079,71,44,471.0,1,5,5,11,155,Cannot Lose Them,3,Champions
10080,26,30,316.34,4,2,2,8,422,New Customers,1,At Risk
10081,48,33,323.11,2,3,3,8,233,At Risk,1,At Risk
10082,18,30,375.52,4,2,3,9,423,New Customers,0,Loyal Customers
10083,29,43,504.13,3,5,5,13,355,Loyal Customers,3,Champions
10084,80,44,538.99,1,5,5,11,155,Cannot Lose Them,3,Champions
10085,28,37,553.8,3,4,5,12,345,Loyal Customers,3,Champions
10086,7,37,469.73,5,4,5,14,545,Champions,0,Loyal Customers
10087,29,33,218.38,3,3,1,7,331,Hibernating,2,Lost
10088,22,32,241.71,4,2,1,7,421,New Customers,2,Lost
10089,63,35,440.97,1,3,4,8,134,At Risk,1,At Risk
10090,7,41,309.78000000000003,5,5,2,12,552,Potential Loyalists,0,Loyal Customers
10091,66,37,411.27,1,4,4,9,144,Cannot Lose Them,1,At Risk
10092,63,32,260.91,1,2,2,5,122,Lost,1,At Risk
10093,61,29,270.27,1,2,2,5,122,Lost,1,At Risk
10094,60,28,224.23,1,1,1,3,111,Lost,2,Lost
10095,17,26,605.41,4,1,5,10,415,New Customers,0,Loyal Customers
10096,37,36,324.25,3,4,3,10,343,Loyal Customers,1,At Risk
10097,56,34,553.41,2,3,5,10,235,At Risk,3,Champions
10098,7,37,402.02,5,4,4,13,544,Champions,0,Loyal Customers
10099,29,30,210.02,3,2,1,6,321,Promising,2,Lost
10100,37,41,423.25,3,5,4,12,354,Loyal Customers,3,Champions
10101,13,22,226.06,5,1,1,7,511,New Customers,2,Lost
10102,124,34,200.93,1,3,1,5,131,Hibernating,1,At Risk
10103,37,37,509.3,3,4,5,12,345,Loyal Customers,3,Champions
10104,6,38,289.82,5,4,2,11,542,Potential Loyalists,0,Loyal Customers
10105,50,33,310.63,2,3,2,7,232,Hibernating,1,At Risk
10106,21,41,481.66,4,5,5,14,455,Champions,3,Champions
10107,21,38,548.5500000000001,4,4,5,13,445,Champions,3,Champions
10108,98,37,267.85,1,4,2,7,142,Hibernating,1,At Risk
10109,24,35,400.3,4,3,4,11,434,Loyal Customers,3,Champions
10110,96,37,469.2,1,4,5,10,145,Cannot Lose Them,3,Champions
10111,25,30,418.67,4,2,4,10,424,New Customers,1,At Risk
10112,5,39,280.47,5,5,2,12,552,Potential Loyalists,0,Loyal Customers
10113,55,28,234.8,2,1,1,4,211,Lost,2,Lost
10114,10,32,353.85,5,2,3,10,523,New Customers,0,Loyal Customers
10115,4,38,353.24,5,4,3,12,543,Loyal Customers,0,Loyal Customers
10116,37,33,383.35,3,3,4,10,334,Loyal Customers,1,At Risk
10117,43,35,494.18,2,3,5,10,235,At Risk,3,Champions
10118,53,40,271.02,2,5,2,9,252,Hibernating,1,At Risk
10119,18,29,241.52,4,2,1,7,421,New Customers,2,Lost
10120,54,37,415.57,2,4,4,10,244,Cannot Lose Them,3,Champions
10121,20,40,514.51,4,5,5,14,455,Champions,3,Champions
10122,28,36,414.37,3,4,4,11,344,Loyal Customers,3,Champions
10123,65,32,268.72,1,2,2,5,122,Lost,1,At Risk
10124,79,25,258.53,1,1,1,3,111,Lost,2,Lost
10125,7,32,257.67,5,2,1,8,521,New Customers,0,Loyal Customers
10126,36,23,300.51,3,1,2,6,312,Promising,2,Lost
10127,89,33,293.97,1,3,2,6,132,Hibernating,1,At Risk
10128,48,37,244.99,2,4,1,7,241,Hibernating,1,At Risk
10129,43,27,442.53,2,1,4,7,214,Hibernating,1,At Risk
10130,34,25,453.16999999999996,3,1,4,8,314,Promising,1,At Risk
10131,39,25,330.31,3,1,3,7,313,Promising,2,Lost
10132,61,38,262.32,1,4,2,7,142,Hibernating,1,At Risk
10133,3,34,660.54,5,3,5,13,535,Loyal Customers,0,Loyal Customers
10134,42,39,404.69,2,5,4,11,254,Cannot Lose Them,3,Champions
10135,35,33,352.96,3,3,3,9,333,Loyal Customers,1,At Risk
10136,27,37,281.14,4,4,2,10,442,Potential Loyalists,1,At Risk
10137,39,24,230.87,3,1,1,5,311,Promising,2,Lost
10138,59,36,355.63,1,4,3,8,143,At Risk,1,At Risk
10139,56,38,210.22,2,4,1,7,241,Hibernating,1,At Risk
10140,19,30,281.31,4,2,2,8,422,New Customers,0,Loyal Customers
10141,25,24,259.31,4,1,1,6,411,New Customers,2,Lost
10142,47,34,290.23,2,3,2,7,232,Hibernating,1,At Risk
10143,20,32,367.81,4,2,3,9,423,New Customers,0,Loyal Customers
10144,13,35,405.25,5,3,4,12,534,Loyal Customers,0,Loyal Customers
10145,13,40,396.55,5,5,4,14,554,Champions,0,Loyal Customers
10146,38,45,479.51,3,5,5,13,355,Loyal Customers,3,Champions
10147,30,25,218.03,3,1,1,5,311,Promising,2,Lost
10148,64,36,416.45,1,4,4,9,144,Cannot Lose Them,1,At Risk
10149,17,38,316.21,4,4,2,10,442,Potential Loyalists,0,Loyal Customers
10150,26,26,279.31,4,1,2,7,412,New Customers,2,Lost
10151,25,30,286.31,4,2,2,8,422,New Customers,1,At Risk
10152,18,36,393.95000000000005,4,4,4,12,444,Champions,0,Loyal Customers
10153,8,43,624.6600000000001,5,5,5,15,555,Champions,3,Champions
10154,23,38,308.32,4,4,2,10,442,Potential Loyalists,0,Loyal Customers
10155,36,38,254.85999999999999,3,4,1,8,341,Hibernating,1,At Risk
10156,36,35,727.62,3,3,5,11,335,Loyal Customers,3,Champions
10157,65,28,245.13,1,1,1,3,111,Lost,2,Lost
10158,40,27,231.66,2,1,1,4,211,Lost,2,Lost
10159,23,34,614.78,4,3,5,12,435,Loyal Customers,3,Champions
10160,46,32,382.48,2,2,3,7,223,Hibernating,1,At Risk
10161,35,36,561.84,3,4,5,12,345,Loyal Customers,3,Champions
10162,19,36,481.93,4,4,5,13,445,Champions,3,Champions
10163,43,34,406.69,2,3,4,9,234,At Risk,1,At Risk
10164,32,33,373.87,3,3,3,9,333,Loyal Customers,1,At Risk
10165,24,26,234.02,4,1,1,6,411,New Customers,2,Lost
10166,30,27,183.06,3,1,1,5,311,Promising,2,Lost
10167,21,23,211.3,4,1,1,6,411,New Customers,2,Lost
10168,44,24,263.8,2,1,2,5,212,Lost,2,Lost
10169,40,30,421.21000000000004,2,2,4,8,224,Hibernating,1,At Risk
10170,36,41,268.11,3,5,2,10,352,Potential Loyalists,1,At Risk
10171,31,35,583.45,3,3,5,11,335,Loyal Customers,3,Champions
10172,67,34,316.12,1,3,2,6,132,Hibernating,1,At Risk
10173,53,32,458.89,2,2,4,8,224,Hibernating,1,At Risk
10174,42,45,281.23,2,5,2,9,252,Hibernating,3,Champions
10175,7,33,506.03,5,3,5,13,535,Loyal Customers,0,Loyal Customers
10176,9,36,268.31,5,4,2,11,542,Potential Loyalists,0,Loyal Customers
10177,27,42,628.0600000000001,4,5,5,14,455,Champions,3,Champions
10178,21,36,395.46,4,4,4,12,444,Champions,3,Champions
10179,23,32,450.64,4,2,4,10,424,New Customers,3,Champions
10180,20,26,187.17,4,1,1,6,411,New Customers,2,Lost
10181,50,30,194.10999999999999,2,2,1,5,221,Lost,2,Lost
10182,45,28,145.62,2,1,1,4,211,Lost,2,Lost
10183,20,31,396.28,4,2,4,10,424,New Customers,0,Loyal Customers
10184,31,31,411.94,3,2,4,9,324,Potential Loyalists,1,At Risk
10185,83,40,396.46,1,5,4,10,154,Cannot Lose Them,3,Champions
10186,93,29,395.2,1,2,4,7,124,Hibernating,1,At Risk
10187,10,36,286.29,5,4,2,11,542,Potential Loyalists,0,Loyal Customers
10188,46,39,492.45,2,5,5,12,255,Cannot Lose Them,3,Champions
10189,19,40,405.79,4,5,4,13,454,Champions,3,Champions
10190,15,45,548.14,5,5,5,15,555,Champions,3,Champions
10191,10,32,315.33,5,2,2,9,522,New Customers,0,Loyal Customers
10192,70,31,371.29,1,2,3,6,123,Hibernating,1,At Risk
10193,21,39,414.45000000000005,4,5,4,13,454,Champions,3,Champions
10194,11,32,284.24,5,2,2,9,522,New Customers,0,Loyal Customers
10195,20,42,657.73,4,5,5,14,455,Champions,3,Champions
10196,36,30,281.07,3,2,2,7,322,Potential Loyalists,1,At Risk
10197,51,27,184.56,2,1,1,4,211,Lost,2,Lost
10198,20,37,421.68,4,4,4,12,444,Champions,3,Champions
10199,79,26,243.09,1,1,1,3,111,Lost,2,Lost
10200,14,38,325.24,5,4,3,12,543,Loyal Customers,0,Loyal Customers
10201,15,35,437.40000000000003,5,3,4,12,534,Loyal Customers,0,Loyal Customers
10202,8,28,302.2,5,1,2,8,512,New Customers,0,Loyal Customers
10203,17,36,361.9,4,4,3,11,443,Loyal Customers,0,Loyal Customers
10204,7,32,298.71,5,2,2,9,522,New Customers,0,Loyal Customers
10205,43,24,335.62,2,1,3,6,213,Hibernating,2,Lost
10206,8,32,279.58,5,2,2,9,522,New Customers,0,Loyal Customers
10207,85,30,330.68,1,2,3,6,123,Hibernating,1,At Risk
10208,30,43,478.6,3,5,5,13,355,Loyal Customers,3,Champions
